sensor_1_K,sensor_2_K
299.505439,299.384884
300.638731,300.629055
302.724365,298.985593
303.591283,300.000392
305.370388,300.447302
306.509691,301.037778
307.027010,301.783947
308.500164,301.732082
308.696199,301.441156
309.079503,302.304104
309.491080,301.649013
308.777988,303.310693
310.226136,302.804658
309.465414,302.805510
310.626805,303.061042
310.717913,303.576974
312.141289,303.639249
311.940186,305.220984
313.113291,303.978553
314.455212,304.641280
314.126143,304.951329
316.432370,305.282873
317.365781,305.636853
317.500424,305.705255
317.437848,305.974654
316.943947,306.127989
317.525931,306.072787
317.293538,307.145668
316.917360,307.716352
316.852747,307.113346
317.004501,307.251953
