sensor_1_K,sensor_2_K
299.505439,299.384884
299.816107,300.613115
300.643963,298.913978
300.096987,299.814926
300.460115,300.082190
300.288552,300.429941
299.681768,300.880831
300.270976,300.496662
299.841702,299.854239
300.693307,300.380621
302.090163,299.441276
302.507553,300.896117
305.047689,300.269177
305.230654,300.229885
307.116142,300.511840
307.675734,301.101788
309.313848,301.265398
309.112963,302.957084
310.142227,301.818373
311.286564,302.569175
310.801449,302.948408
313.077560,303.332967
314.166205,303.731371
314.666025,303.846218
315.164425,304.175477
315.377138,304.411952
316.734105,304.469537
317.254234,305.686404
317.519591,306.428571
317.914739,306.016097
318.303787,306.352444
