sensor_1_K
299.505439
299.816112
300.643999
300.097129
300.460519
300.289482
299.683623
300.274293
299.847162
299.847225
300.060907
299.254323
300.619500
299.695263
300.539681
300.117875
300.827405
299.744655
299.933642
300.275040
299.020818
300.558762
300.937779
300.754509
300.594677
300.172597
300.917000
300.845759
300.540038
300.383616
300.239907
299.847859
301.120774
299.468865
300.419622
300.739312
301.142132
301.650758
301.327008
300.747695
301.323321
300.396946
301.813876
301.094481
300.912269
301.008629
301.379021
301.297325
302.725096
301.309807
301.776206
301.867087
301.962412
302.073107
301.903636
301.953398
301.916272
301.706944
302.664145
303.154269
302.497601
302.597708
302.827292
302.864208
302.485692
303.995812
303.642147
303.175971
303.789185
303.529587
303.750478
304.144856
304.544864
304.932420
305.127501
304.252465
304.226683
304.624191
304.734440
304.396947
304.545406
305.351549
305.852662
305.002847
304.873851
305.135206
304.855638
305.290272
305.708576
305.524426
306.247194
305.767195
305.991175
305.732110
306.517201
305.298086
305.804378
305.413285
306.454288
306.504432
305.856640
306.976009
306.027971
305.511837
306.087173
306.429422
306.151300
307.417852
306.726959
307.176728
307.013571
305.485067
306.144274
304.972041
306.014227
306.894205
305.912434
306.011316
306.486655
306.709553
306.128496
