case_id,scenario,flux_family,noise_level,sensor_count,sensor_layout,time_resolution,seed,variant_name,flux_l2_error,flux_relative_l2_error,flux_rmse,flux_peak_error,flux_correlation,replay_rmse,replay_relative_error,replay_max_abs_error,roughness_l1,roughness_l2,oscillation_score,sign_flip_count,physical_violation_count,within_bounds_flag,final_decision,success_flag,weak_pass_flag,manual_review_flag,failure_flag,iteration_count,replanning_count,runtime_sec,final_lambda,final_reg_order,final_variant_name,initial_to_final_improvement,last_verifier_decision
few_sensors_case_0014,few_sensors,smooth_sinusoid,0.5,1,0.03,1.0,123,full_agent,102898.0186344416,0.220585807622178,9354.365330403782,25754.01112520352,0.8012268850014252,0.472145193149512,0.0529291113916639,1.351452352188005,114691.33739080904,28310.89123301556,0.0059611944858501,0,0,True,weak_pass,1,1,0,0,9,8,0.473993653897196,2.9007068606883405e-10,1,full_agent,0.05711643945028,weak_pass
distant_sensors_case_0015,distant_sensors,step,0.5,2,"0.04,0.045",1.0,42,full_agent,285171.6893152767,0.6186242512008255,25924.69902866152,27106.53752430016,0.8895497499337655,0.5213580820919561,0.1123790937585051,1.6337147889776134,0.024763628567598,0.0064444528797122,8.494414451751111e-17,0,0,True,fail,0,0,0,1,9,8,0.4784636232070625,0.1816875192703227,1,full_agent,-0.0377559455720544,fail
distant_sensors_case_0016,distant_sensors,step,0.5,2,"0.04,0.045",1.0,123,full_agent,276741.6724163449,0.6003369769477828,25158.333856031364,25385.11691793555,0.8955034591584935,0.561796313386611,0.1250597562468755,1.513994511702208,0.2213081710178812,0.0581932378534217,6.2990014631515424e-15,0,0,True,fail,0,0,0,1,9,8,0.4861886519938707,0.0204254932409233,1,full_agent,-0.1196230285778926,fail
distant_sensors_case_0017,distant_sensors,single_pulse,0.5,2,"0.04,0.045",1.0,42,full_agent,237796.88532226864,0.608312647094707,21617.89866566078,35834.50517033659,-0.0261145301478983,0.4557734120899423,0.0913586314267858,1.445425192931168,15.361786986388324,4.478857177893248,2.5377051699053238e-11,0,0,True,weak_pass,1,1,0,0,9,8,0.4772507520392537,5.418778092877165e-05,1,full_agent,2.1551248821703124e-05,weak_pass
distant_sensors_case_0018,distant_sensors,single_pulse,0.5,2,"0.04,0.045",1.0,123,full_agent,100168.81456600309,0.2562437126222442,9106.255869636643,20415.43479959692,0.932034380817622,0.4833920092664028,0.0925543822019996,1.4157453700918836,142702.96324785065,36576.36236577066,0.007484749722559,2,0,True,weak_pass,1,1,0,0,9,8,0.484587462618947,2.042549324092334e-10,1,full_agent,0.0332369557711858,weak_pass
low_time_resolution_case_0019,low_time_resolution,step,0.5,2,"0.01,0.03",0.256198347107438,42,full_agent,51221.68396192192,0.2184099942724487,9199.686018301,33151.77391004586,0.914732658085925,0.488052120419374,0.0237714595081515,1.399321027540168,54892.40946322,32470.40982236252,0.0400006325294087,1,0,True,weak_pass,1,1,0,0,1,0,0.0078566940501332,1.6911663487255873e-08,1,full_agent,0.0,weak_pass
low_time_resolution_case_0020,low_time_resolution,step,0.5,2,"0.01,0.03",0.256198347107438,123,full_agent,45829.75564105839,0.1954187346615245,8231.26710372558,38404.59681548354,0.9319751703984256,0.5013632664645371,0.0258570502919619,1.1366249283859702,58671.74575009688,39020.21754801949,0.173384785390027,1,0,True,weak_pass,1,1,0,0,1,0,0.0078421956859529,4.850800872207818e-09,1,full_agent,0.0,weak_pass
low_time_resolution_case_0021,low_time_resolution,single_pulse,0.5,2,"0.01,0.03",0.256198347107438,42,full_agent,38446.17472334122,0.1966445781495036,6905.136822959858,12997.042051278791,0.95856386922309,0.4834881656254792,0.0316964226302839,1.3398743434045173,80355.00490860944,37605.41924528341,0.1399011395800911,0,0,True,weak_pass,1,1,0,0,1,0,0.0078771295957267,1.2376364972724508e-08,1,full_agent,0.0,weak_pass
low_time_resolution_case_0022,low_time_resolution,single_pulse,0.5,2,"0.01,0.03",0.256198347107438,123,full_agent,35940.32741755805,0.183827664896138,6455.073360771693,13545.537061186767,0.951718690631533,0.4930365151661217,0.0306378581414464,1.191566851769153,91765.60599113944,41368.57525129502,0.1668498071997618,0,0,True,weak_pass,1,1,0,0,1,0,0.007791840005666,6.628368844588692e-09,1,full_agent,0.0,weak_pass
low_time_resolution_case_0023,low_time_resolution,smooth_sinusoid,0.5,2,"0.01,0.03",0.256198347107438,42,full_agent,52898.89446002632,0.2243412833665173,9500.921916375515,14808.921589719685,0.7764184133575254,0.5041057652347345,0.0271148823197301,1.50880939563433,46904.67640043512,22501.83367729362,0.0855969053231871,0,0,True,weak_pass,1,1,0,0,1,0,0.0079716257750988,9.057323666208812e-09,1,full_agent,0.0,weak_pass
low_time_resolution_case_0024,low_time_resolution,smooth_sinusoid,0.5,2,"0.01,0.03",0.256198347107438,123,full_agent,51573.0494620483,0.2187184481177347,9262.793125072987,19079.334432171447,0.75780359758753,0.4965896709429293,0.0267842835952035,1.2858893399006206,75739.9699209553,38463.55422975712,0.1813449452282158,0,0,True,weak_pass,1,1,0,0,1,0,0.0078046722337603,3.549933573932281e-09,1,full_agent,0.0,weak_pass
high_dimension_case_0025,high_dimension,step,0.5,2,"0.01,0.03",1.0,42,full_agent,86906.08383058409,0.1885257655259511,7900.553075507645,27267.461871916264,0.9404540287483492,0.5046538638249204,0.0255377957913448,1.648748149209382,54508.59896882281,17100.326650187228,0.0004763529084265,1,0,True,weak_pass,1,1,0,0,1,0,0.0616218689829111,1.529956584998302e-07,1,full_agent,0.0,weak_pass
high_dimension_case_0026,high_dimension,step,0.5,2,"0.01,0.03",1.0,123,full_agent,76249.14365706035,0.1654076164180658,6931.740332460033,27552.110907083446,0.9537469380816892,0.5017629649348109,0.0256821927749405,1.6741257409068453,57543.01044553316,19783.676746014484,0.0011518749464866,1,0,True,weak_pass,1,1,0,0,1,0,0.0614675390534102,4.388400196433952e-08,1,full_agent,0.0,weak_pass
high_dimension_case_0027,high_dimension,single_pulse,0.5,2,"0.01,0.03",1.0,42,full_agent,44438.72489986741,0.1136795309186512,4039.884081806128,10512.366206902369,0.99269607409617,0.5073046868161601,0.0320287723942792,1.4024038540623565,85131.41446481738,20130.76961483413,0.0010363946874388,0,0,True,weak_pass,1,1,0,0,1,0,0.0604036999866366,1.529956584998302e-07,1,full_agent,0.0,weak_pass
high_dimension_case_0028,high_dimension,single_pulse,0.5,2,"0.01,0.03",1.0,123,full_agent,32155.20627914593,0.0822568328556314,2923.2005708314487,8659.54445244328,0.9935683719084838,0.503628814516463,0.0315700173027436,1.5407595915753518,92819.1285191378,21949.52500496045,0.001200304906969,0,0,True,weak_pass,1,1,0,0,1,0,0.0603532423265278,8.193937867803223e-08,1,full_agent,0.0,weak_pass
wrong_noise_estimate_case_0029,wrong_noise_estimate,step,0.5,2,"0.01,0.03",1.0,42,full_agent,57129.99154289571,0.1239323522057632,5193.635594808701,35093.793539966515,0.9738656001799308,0.4407106533431886,0.0223019766119399,1.4609171143443973,136342.30720326435,42618.803582506735,0.0702156151437516,5,0,True,weak_pass,1,1,0,0,1,0,0.0607882929034531,7.578693811968016e-10,1,full_agent,0.0,weak_pass
wrong_noise_estimate_case_0030,wrong_noise_estimate,step,0.5,2,"0.01,0.03",1.0,123,full_agent,65929.89169664381,0.1430220158968736,5993.626517876709,33994.55957738037,0.9650728748120104,0.4751985416121354,0.0243225215986975,1.4432836024315066,142823.42460319816,40527.2187606734,0.0502872540888437,4,0,True,weak_pass,1,1,0,0,1,0,0.0603196113370358,7.578693811968017e-10,1,full_agent,0.0,weak_pass
wrong_noise_estimate_case_0031,wrong_noise_estimate,single_pulse,0.5,2,"0.01,0.03",1.0,42,full_agent,37437.92773700242,0.0957706611361726,3403.447976091129,8897.035951284523,0.9859840336255024,0.4384046734694499,0.0276787576934604,1.4596747710631917,141846.1027023667,35433.51125798137,0.0564476527237191,0,0,True,weak_pass,1,1,0,0,1,0,0.0615282705985009,7.578693811968018e-10,1,full_agent,0.0,weak_pass
wrong_noise_estimate_case_0032,wrong_noise_estimate,single_pulse,0.5,2,"0.01,0.03",1.0,123,full_agent,42525.42015674951,0.1087850703734361,3865.947286977228,9618.006285093106,0.9819661788413949,0.4766696520744375,0.029880079792755487,1.443252933707015,128107.2220068052,34970.116374509584,0.050635516009368005,2,0,True,weak_pass,1,1,0,0,1,0,0.06087075499817729,7.578693811968019e-10,1,full_agent,0.0,weak_pass
