sensor_1_K,sensor_2_K
300.152359,299.796792
299.480008,299.743879
300.375226,299.593114
300.470282,300.307990
299.024482,300.564486
299.348910,299.943026
300.063920,299.579922
299.841879,299.587759
299.991599,300.325296
300.427980,300.388185
302.481279,300.343653
303.659414,299.848393
304.484621,300.463495
306.129819,300.625107
306.849762,300.940715
307.177927,301.568183
308.732207,301.573588
308.963506,302.151586
310.737349,302.211253
311.092717,302.697430
311.812753,303.250027
312.323135,302.590253
314.006660,303.543862
314.025357,303.851813
314.572876,304.147742
315.274060,304.705462
316.359308,305.961095
316.899941,305.145335
317.529647,306.420522
318.127592,305.446204
319.555494,306.464309
