variant_name,noise_level,flux_l2_error_mean,flux_l2_error_std,flux_l2_error_count,flux_relative_l2_error_mean,flux_relative_l2_error_std,flux_relative_l2_error_count,flux_rmse_mean,flux_rmse_std,flux_rmse_count,flux_peak_error_mean,flux_peak_error_std,flux_peak_error_count,flux_correlation_mean,flux_correlation_std,flux_correlation_count,replay_rmse_mean,replay_rmse_std,replay_rmse_count,replay_relative_error_mean,replay_relative_error_std,replay_relative_error_count,replay_max_abs_error_mean,replay_max_abs_error_std,replay_max_abs_error_count,success_flag_mean,success_flag_std,success_flag_count,weak_pass_flag_mean,weak_pass_flag_std,weak_pass_flag_count,manual_review_flag_mean,manual_review_flag_std,manual_review_flag_count,failure_flag_mean,failure_flag_std,failure_flag_count
fixed_lambda_ablation,0.1,221310.91935315976,44767.99574930557,10,0.5045971490776744,0.09526067547458081,10,20119.174486650885,4069.817795391415,10,33553.05790802157,8841.0411948464,10,0.6364927363481996,0.2912206537313187,10,1.5465112336688158,0.6631530936551647,10,0.08702247156066292,0.0305157560769328,10,4.414171254975275,1.83157148677742,10,0.6,0.5163977794943222,10,0.6,0.5163977794943222,10,0.0,0.0,10,0.4,0.5163977794943223,10
fixed_lambda_ablation,0.5,221303.504128957,44855.64517660047,10,0.5045553560762689,0.09529377423720903,10,20118.50037535973,4077.7859251454965,10,33525.0690288429,8875.561524955167,10,0.6343289742339622,0.28984252128325705,10,1.6116032316754794,0.6178844308599358,10,0.08534579578906512,0.02640975274675517,10,4.933731475137591,1.7037299273908721,10,0.6,0.5163977794943222,10,0.6,0.5163977794943222,10,0.0,0.0,10,0.4,0.5163977794943223,10
fixed_lambda_ablation,1.0,221304.70296174433,44965.0753037893,10,0.5045272606548117,0.09533739047961147,10,20118.609360158574,4087.734118526297,10,33490.097968967704,8920.722266046632,10,0.6321402499441673,0.28794229567723967,10,1.8080088218979817,0.5332416171604062,10,0.08865836317857849,0.02049368262253362,10,5.789451138070547,1.5966233575900577,10,0.6,0.5163977794943222,10,0.6,0.5163977794943222,10,0.0,0.0,10,0.4,0.5163977794943223,10
fixed_reg_order_0,0.1,45640.1118276899,20351.176565177244,10,0.1003423207337943,0.03650255338342007,10,4149.101075244536,1850.1069604706586,10,19221.009854640703,12650.561288003768,10,0.9748995354232818,0.016001792760187726,10,0.10300045385851934,0.005005388942684841,10,0.00597058949296825,0.0006193331363799243,10,0.3967342208247544,0.13881788959556032,10,1.0,0.0,10,1.0,0.0,10,0.0,0.0,10,0.0,0.0,10
fixed_reg_order_0,0.5,75990.68914998413,33561.996452186904,10,0.16726252916722983,0.059404767846848505,10,6908.244468180375,3051.0905865624463,10,25658.130929784536,15457.673953252519,10,0.9344173847306554,0.043901432147187475,10,0.5024501740972899,0.0054337891240873355,10,0.02737679876305102,0.0033411511149073663,10,1.6517231858183663,0.3360938572848191,10,1.0,0.0,10,1.0,0.0,10,0.0,0.0,10,0.0,0.0,10
fixed_reg_order_0,1.0,118837.86852084831,34555.51682378621,10,0.2699344577850903,0.07701953832030697,10,10803.442592804391,3141.4106203442016,10,34643.7545645497,13623.721397991114,10,0.8608313946143709,0.04546474228615728,10,0.9672846154602872,0.05236222682478774,10,0.048190444424779336,0.003921862300781632,10,3.1910704047872285,0.5953800242550946,10,1.0,0.0,10,1.0,0.0,10,0.0,0.0,10,0.0,0.0,10
fixed_reg_order_2,0.1,30411.43128332978,15511.67884116688,10,0.07013854559246031,0.034513664187281516,10,2764.6755712117983,1410.1526219242617,10,11965.184188448504,11384.939795315588,10,0.9865179649501666,0.010184282589272387,10,0.09859724653299595,0.0036116673537712344,10,0.00576118347962031,0.0009283586040093978,10,0.30565702176009496,0.028372683898733094,10,1.0,0.0,10,1.0,0.0,10,0.0,0.0,10,0.0,0.0,10
fixed_reg_order_2,0.5,60526.21406750094,29868.0778726453,10,0.1419384667055023,0.07162570970832403,10,5502.383097045541,2715.279806604118,10,16463.12691409546,9813.045283315374,10,0.9397005146864421,0.05356405628992219,10,0.4939954134066583,0.017948692379198272,10,0.02700263358278408,0.00401343962488872,10,1.4774643611465763,0.0570107665027302,10,1.0,0.0,10,1.0,0.0,10,0.0,0.0,10,0.0,0.0,10
fixed_reg_order_2,1.0,65792.25624845902,43152.8739587899,10,0.15055115175412095,0.09476800515208647,10,5981.114204405366,3922.988541708173,10,15241.715736474047,10614.184825571305,10,0.912326395482182,0.10430659061706984,10,0.9589225804785064,0.04697465659898922,10,0.047948059843412875,0.005499078134580239,10,2.9244084567815376,0.07939520389100489,10,1.0,0.0,10,1.0,0.0,10,0.0,0.0,10,0.0,0.0,10
full_agent_baseline,0.1,31419.803875162976,13310.861111080407,10,0.07152725319988806,0.02888325489354132,10,2856.345806832998,1210.0782828254914,10,12906.449702062833,10650.599319959572,10,0.9868891867071568,0.009759626232310884,10,0.10061105164301194,0.000822764370631342,10,0.00586387068795702,0.000831496697898303,10,0.31359842196564497,0.04236028696029933,10,1.0,0.0,10,1.0,0.0,10,0.0,0.0,10,0.0,0.0,10
