variant_name,flux_l2_error_mean,flux_l2_error_std,flux_l2_error_count,flux_relative_l2_error_mean,flux_relative_l2_error_std,flux_relative_l2_error_count,flux_rmse_mean,flux_rmse_std,flux_rmse_count,flux_peak_error_mean,flux_peak_error_std,flux_peak_error_count,flux_correlation_mean,flux_correlation_std,flux_correlation_count,replay_rmse_mean,replay_rmse_std,replay_rmse_count,replay_relative_error_mean,replay_relative_error_std,replay_relative_error_count,replay_max_abs_error_mean,replay_max_abs_error_std,replay_max_abs_error_count,success_flag_mean,success_flag_std,success_flag_count,weak_pass_flag_mean,weak_pass_flag_std,weak_pass_flag_count,manual_review_flag_mean,manual_review_flag_std,manual_review_flag_count,failure_flag_mean,failure_flag_std,failure_flag_count
fixed_lambda_ablation,221306.37548128702,43288.34493898381,30,0.5045599219362517,0.0919524772777674,30,20118.761407389728,3935.3040853621633,30,33522.74163527739,8567.560890746103,30,0.6343206535087764,0.2795103489058544,30,1.6553744290807588,0.5966499022340468,30,0.08700887684276884,0.025252494048569652,30,5.045784622727805,1.7509043545678526,30,0.6,0.49827287912243984,30,0.6,0.49827287912243984,30,0.0,0.0,30,0.4,0.4982728791224399,30
fixed_reg_order_0,80156.22316617411,42207.120112189106,30,0.1791797692287048,0.09155328636336851,30,7286.929378743101,3837.010919289919,30,26507.631782991644,14926.682397546214,30,0.9233827715894359,0.06021171475288489,30,0.5242450811386988,0.36042256208795737,30,0.027179277560266203,0.01776815903142465,30,1.746509270476783,1.2255428258053802,30,1.0,0.0,30,1.0,0.0,30,0.0,0.0,30,0.0,0.0,30
fixed_reg_order_2,52243.30053309658,34362.206991248044,30,0.12087605468402786,0.07805988088667656,30,4749.390957554235,3123.836999204367,30,14556.675613006004,10430.987201368252,30,0.9461816250395968,0.07259387502185354,30,0.5171717468060535,0.3587205184399987,30,0.026903958968605757,0.01793060704947347,30,1.569176613229403,1.0908505375935116,30,1.0,0.0,30,1.0,0.0,30,0.0,0.0,30,0.0,0.0,30
full_agent_baseline,60397.14068868554,33947.167781426484,30,0.139406138983138,0.08580772745740586,30,5490.649153516867,3086.106161947862,30,16384.03259822661,8654.313445625454,30,0.9516481973602658,0.06133852864959649,30,0.5226412669436529,0.36061084674832566,30,0.027124423931608653,0.017848246671976827,30,1.6178581156719,1.1248455063824936,30,1.0,0.0,30,1.0,0.0,30,0.0,0.0,30,0.0,0.0,30
no_bounds,60397.14068868554,33947.167781426484,30,0.139406138983138,0.08580772745740586,30,5490.649153516867,3086.106161947862,30,16384.03259822661,8654.313445625454,30,0.9516481973602658,0.06133852864959649,30,0.5226412669436529,0.36061084674832566,30,0.027124423931608653,0.017848246671976827,30,1.6178581156719,1.1248455063824936,30,1.0,0.0,30,1.0,0.0,30,0.0,0.0,30,0.0,0.0,30
no_replanner,59299.56782376462,30999.69082120488,30,0.13651926405912623,0.07688620361476048,30,5390.8698021604205,2818.1537110186255,30,16048.545347895079,8116.229945157781,30,0.9545198656195555,0.058969336243166554,30,0.5330466976887631,0.3731358154892837,30,0.027710579539629746,0.01872359193436843,30,1.6165357886571656,1.1237240165248412,30,0.8666666666666667,0.3457459036417604,30,0.8666666666666667,0.3457459036417604,30,0.0,0.0,30,0.13333333333333333,0.3457459036417604,30
no_verifier,59299.56782376462,30999.69082120488,30,0.13651926405912623,0.07688620361476048,30,5390.8698021604205,2818.1537110186255,30,16048.545347895079,8116.229945157781,30,0.9545198656195555,0.058969336243166554,30,0.5330466976887631,0.3731358154892837,30,0.027710579539629746,0.01872359193436843,30,1.6165357886571656,1.1237240165248412,30,1.0,0.0,30,0.0,0.0,30,0.0,0.0,30,0.0,0.0,30
