variant_name,flux_family,flux_l2_error_mean,flux_l2_error_std,flux_l2_error_count,flux_relative_l2_error_mean,flux_relative_l2_error_std,flux_relative_l2_error_count,flux_rmse_mean,flux_rmse_std,flux_rmse_count,flux_peak_error_mean,flux_peak_error_std,flux_peak_error_count,flux_correlation_mean,flux_correlation_std,flux_correlation_count,replay_rmse_mean,replay_rmse_std,replay_rmse_count,replay_relative_error_mean,replay_relative_error_std,replay_relative_error_count,replay_max_abs_error_mean,replay_max_abs_error_std,replay_max_abs_error_count,success_flag_mean,success_flag_std,success_flag_count,weak_pass_flag_mean,weak_pass_flag_std,weak_pass_flag_count,manual_review_flag_mean,manual_review_flag_std,manual_review_flag_count,failure_flag_mean,failure_flag_std,failure_flag_count
fixed_lambda_ablation,multi_pulse,189417.58987746897,352.9217668884487,6,0.5019003997450211,0.0009351379457135818,6,17219.780897951725,32.08379698986023,6,32349.814000570466,194.49904031818662,6,0.24768625748749015,0.0061439052727018375,6,1.1052537260429252,0.15758292014957803,6,0.06585454159532285,0.004060068628765032,6,3.562783533534315,0.8030848068171357,6,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6,0.0,0.0,6
fixed_lambda_ablation,ramp,270736.766197775,695.8808056492818,6,0.5317681133441312,0.001366815554198481,6,24612.43329070682,63.261891422662345,6,47970.043798148225,194.07376199946017,6,0.9851814892464003,0.00019988004872820516,6,2.2996665831112657,0.06603876695938983,6,0.10210779959039402,0.0034851822144647228,6,7.168193541991305,0.5193676563783202,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,1.0,0.0,6
fixed_lambda_ablation,single_pulse,233888.1039022477,623.3493921028771,6,0.5983135204480096,0.0015946017049848877,6,21262.554900204337,56.668126554808524,6,34713.50491744073,194.49911480527783,6,0.6884994082690804,0.013059936416793247,6,1.5399616707772121,0.12426642640838235,6,0.09615409962982234,0.0018875823375947057,6,5.02543276483387,0.5809443704750845,6,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6,0.0,0.0,6
fixed_lambda_ablation,smooth_sinusoid,156325.83618086338,277.12278670386246,6,0.33512074657797103,0.0005940770728807713,6,14211.439652805762,25.19298060944242,6,21903.48185735283,194.07683107818923,6,0.39961977182308245,0.007128887522870934,6,0.9912848144452678,0.214907122988871,6,0.0522168933788201,0.007876730176679113,6,3.0455389560677495,0.9491349765983143,6,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6,0.0,0.0,6
fixed_lambda_ablation,step,256163.58124808004,412.9213096655009,6,0.5556968295661253,0.0008957520874881991,6,23287.59829528,37.53830087868434,6,30676.86360287471,194.07374689217983,6,0.8506163407178285,0.00023641001902304136,6,2.3407053510271245,0.061783400737267985,6,0.11871105001948491,0.0058993649623854385,6,6.426974317211783,0.7015904135766831,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,1.0,0.0,6
fixed_reg_order_0,multi_pulse,56492.4359133594,29732.696261035846,6,0.14968818991851027,0.07878282132385134,6,5135.675992123582,2702.972387366895,6,12873.490039229126,5961.803194433212,6,0.9526623654109327,0.05128498310248185,6,0.505799569118219,0.3682574478973767,6,0.02886489887649583,0.019518520552173686,6,1.553894816610665,1.1601763836588148,6,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6,0.0,0.0,6
fixed_reg_order_0,ramp,113867.84454228262,39580.124638374706,6,0.2236537346338078,0.07774137403081331,6,10351.6222311166,3598.1931489431554,6,44227.39247326245,13352.802239531278,6,0.8950553958743478,0.06507227831427866,6,0.5406757219326512,0.40191333226595594,6,0.02329453380704095,0.016542044171279323,6,2.1567038545836303,1.502252321730266,6,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6,0.0,0.0,6
fixed_reg_order_0,single_pulse,62954.70992683441,60655.71902118115,6,0.16104561752679017,0.155164526016406,6,5723.155447894037,5514.1562746528325,6,13431.220554234795,12333.199071138692,6,0.9449143160791879,0.08225321787284834,6,0.5033561488292223,0.3630103604150487,6,0.03029635490188955,0.020625876700799822,6,1.5470396202120564,1.1741579690432689,6,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6,0.0,0.0,6
fixed_reg_order_0,smooth_sinusoid,69361.42097258089,20188.375502114297,6,0.1486923195033945,0.04327847293672859,6,6305.583724780081,1835.3068638285731,6,27426.832384808313,6030.185041326435,6,0.9023507270518598,0.051200524616654246,6,0.5311431533939073,0.39558711927729184,6,0.0271741355876869,0.01912772228425348,6,1.58075073555698,1.1395895871022168,6,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6,0.0,0.0,6
fixed_reg_order_0,step,98104.70447581324,29628.233814185387,6,0.2128189845610213,0.06427266325669426,6,8918.609497801204,2693.47580128958,6,34579.22346342354,2391.904639331756,6,0.9219310535308517,0.04116577498070585,6,0.5402508124194944,0.40793591284677727,6,0.026266464628217783,0.0187354360451415,6,1.894157325420584,1.4415092555342408,6,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6,0.0,0.0,6
