case_id,flux_family,noise_level,sensor_count,sensor_layout,time_resolution,seed,variant_name,flux_l2_error,flux_relative_l2_error,flux_rmse,flux_peak_error,flux_correlation,replay_rmse,replay_relative_error,replay_max_abs_error,roughness_l1,roughness_l2,oscillation_score,sign_flip_count,physical_violation_count,within_bounds_flag,final_decision,success_flag,weak_pass_flag,manual_review_flag,failure_flag,iteration_count,replanning_count,runtime_sec,final_lambda,final_reg_order,final_variant_name,initial_to_final_improvement,last_verifier_decision
case_0002,step,0.1,2,"0.01,0.03",1.0,123,full_agent_baseline,53327.3588811834,0.1156832837635489,4847.941716471219,32396.424808412423,0.9772861974127622,0.1006615059608147,0.005479687053952,0.3016670966931087,66075.65764438282,30536.195797975444,0.0125770910980272,4,0,True,weak_pass,1,1,0,0,1,0,0.0615423931740224,1.4150793782397743e-09,1,full_agent_baseline,0.0,weak_pass
case_0002,step,0.1,2,"0.01,0.03",1.0,123,no_bounds,53327.3588811834,0.1156832837635489,4847.941716471219,32396.424808412423,0.9772861974127622,0.1006615059608147,0.005479687053952,0.3016670966931087,66075.65764438282,30536.195797975444,0.0125770910980272,4,0,True,weak_pass,1,1,0,0,1,0,0.0608368748798966,1.4150793782397743e-09,1,no_bounds,0.0,weak_pass
case_0002,step,0.1,2,"0.01,0.03",1.0,123,no_replanner,53327.3588811834,0.1156832837635489,4847.941716471219,32396.424808412423,0.9772861974127622,0.1006615059608147,0.005479687053952,0.3016670966931087,66075.65764438282,30536.195797975444,0.0125770910980272,4,0,True,weak_pass,1,1,0,0,1,0,0.0603028209879994,1.4150793782397743e-09,1,no_replanner,0.0,weak_pass
case_0002,step,0.1,2,"0.01,0.03",1.0,123,no_verifier,53327.3588811834,0.1156832837635489,4847.941716471219,32396.424808412423,0.9772861974127622,0.1006615059608147,0.005479687053952,0.3016670966931087,66075.65764438282,30536.195797975444,0.0125770910980272,4,0,True,pass,1,0,0,0,1,0,0.0605280129238963,1.4150793782397743e-09,1,no_verifier,0.0,pass
case_0003,step,0.5,2,"0.01,0.03",1.0,42,fixed_lambda_ablation,256430.89729410244,0.5562767194885844,23311.89975400931,30548.010561073606,0.85055860228849,2.297458988984222,0.1162619425024825,6.165459094289531,8.85607732925564e-07,2.1398625873778082e-07,4.041479916372892e-26,0,0,True,fail,0,0,0,1,9,8,0.4632806028239429,390625.0,1,fixed_lambda_ablation,-5.637406153670698e-06,fail
case_0003,step,0.5,2,"0.01,0.03",1.0,42,fixed_reg_order_0,106724.83689500992,0.231518677282559,9702.257899546355,33222.5902798716,0.9143266675525626,0.5086934691250348,0.0257422183126548,2.1235565342567497,106651.02590677622,34200.86634687297,0.0216561893371724,1,0,True,weak_pass,1,1,0,0,1,0,0.0600895648822188,6.741350437731557e-09,0,fixed_reg_order_0,0.0,weak_pass
case_0003,step,0.5,2,"0.01,0.03",1.0,42,fixed_reg_order_2,91270.2660148203,0.197993005918255,8297.296910438208,28387.203429914687,0.93200758898793,0.4995896257725991,0.0252815221620522,1.522449715273524,64345.41190871595,18467.989621017616,0.0003144851899666,1,0,True,weak_pass,1,1,0,0,1,0,0.0598816298879683,5.333987437795182e-07,2,fixed_reg_order_2,0.0,weak_pass
case_0003,step,0.5,2,"0.01,0.03",1.0,42,full_agent_baseline,86906.08383058409,0.1885257655259511,7900.553075507645,27267.461871916264,0.9404540287483492,0.5046538638249204,0.0255377957913448,1.648748149209382,54508.59896882281,17100.326650187228,0.0004763529084265,1,0,True,weak_pass,1,1,0,0,1,0,0.0608260771259665,1.529956584998302e-07,1,full_agent_baseline,0.0,weak_pass
case_0003,step,0.5,2,"0.01,0.03",1.0,42,no_bounds,86906.08383058409,0.1885257655259511,7900.553075507645,27267.461871916264,0.9404540287483492,0.5046538638249204,0.0255377957913448,1.648748149209382,54508.59896882281,17100.326650187228,0.0004763529084265,1,0,True,weak_pass,1,1,0,0,1,0,0.0612072339281439,1.529956584998302e-07,1,no_bounds,0.0,weak_pass
case_0003,step,0.5,2,"0.01,0.03",1.0,42,no_replanner,86906.08383058409,0.1885257655259511,7900.553075507645,27267.461871916264,0.9404540287483492,0.5046538638249204,0.0255377957913448,1.648748149209382,54508.59896882281,17100.326650187228,0.0004763529084265,1,0,True,weak_pass,1,1,0,0,1,0,0.0605940064415335,1.529956584998302e-07,1,no_replanner,0.0,weak_pass
