sensor_1_K,sensor_2_K
300.152359,299.796792
300.302632,299.759819
302.455628,299.664729
303.964578,300.493455
303.934755,300.929598
305.570049,300.550864
307.409162,300.483038
308.071067,300.823179
308.846096,301.912213
308.814175,302.311667
309.882195,302.551390
309.929849,302.262968
309.663068,302.998976
310.364580,303.200733
310.360425,303.489917
310.220106,304.043369
311.559647,303.947439
311.790729,304.415486
313.708413,304.371433
314.261364,304.769536
315.137447,305.252948
315.677945,304.540159
317.206236,305.449345
316.859756,305.710850
316.846300,305.946919
316.840870,306.421498
317.151134,307.564345
316.939244,306.604599
316.927416,307.708303
317.065600,306.543453
318.256208,307.363818
