family_name,primary_axis_level,primary_axis_value,solver_name,sensor_config,noise_sigma,n_runs,n_success,rmse_flux_mean,rmse_flux_std,rmse_flux_min,rmse_flux_max,ssim_flux_mean,ssim_flux_std,ssim_flux_min,ssim_flux_max,peak_localization_error_mean,peak_localization_error_std,peak_localization_error_min,peak_localization_error_max,band_error_scalar_mean,band_error_scalar_std,band_error_scalar_min,band_error_scalar_max,support_overlap_mean,support_overlap_std,support_overlap_min,support_overlap_max,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_min,runtime_seconds_max
gaussian_localized,0,0.05,fast_bayesian,uniform,0.1,1,1,55.101625078803984,0.0,55.101625078803984,55.101625078803984,0.8584353862184073,0.0,0.8584353862184073,0.8584353862184073,0.0,0.0,0.0,0.0,64.76809081449248,0.0,64.76809081449248,64.76809081449248,0.5079365079365079,0.0,0.5079365079365079,0.5079365079365079,0.002454187721014023,0.0,0.002454187721014023,0.002454187721014023
gaussian_localized,0,0.05,fast_bayesian,uniform,1.0,1,1,101.34195063158151,0.0,101.34195063158151,101.34195063158151,0.6458314764485094,0.0,0.6458314764485094,0.6458314764485094,0.11111111111111116,0.0,0.11111111111111116,0.11111111111111116,248.6632572594964,0.0,248.6632572594964,248.6632572594964,0.4266666666666667,0.0,0.4266666666666667,0.4266666666666667,0.002540756016969681,0.0,0.002540756016969681,0.002540756016969681
gaussian_localized,0,0.05,fast_bayesian,boundary_biased,0.1,1,1,56.48005175181715,0.0,56.48005175181715,56.48005175181715,0.8394554907765891,0.0,0.8394554907765891,0.8394554907765891,0.11111111111111116,0.0,0.11111111111111116,0.11111111111111116,35.86388998762741,0.0,35.86388998762741,35.86388998762741,0.4507042253521127,0.0,0.4507042253521127,0.4507042253521127,0.0026103779673576355,0.0,0.0026103779673576355,0.0026103779673576355
gaussian_localized,0,0.05,fast_bayesian,boundary_biased,1.0,1,1,92.09969486152833,0.0,92.09969486152833,92.09969486152833,0.615101161358816,0.0,0.615101161358816,0.615101161358816,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222,83.11830479589095,0.0,83.11830479589095,83.11830479589095,0.4383561643835616,0.0,0.4383561643835616,0.4383561643835616,0.0025927377864718437,0.0,0.0025927377864718437,0.0025927377864718437
gaussian_localized,0,0.05,fast_bayesian,clustered,0.1,1,1,81.14682004852331,0.0,81.14682004852331,81.14682004852331,0.4762895509905587,0.0,0.4762895509905587,0.4762895509905587,0.11111111111111116,0.0,0.11111111111111116,0.11111111111111116,2.4494583100200105,0.0,2.4494583100200105,2.4494583100200105,0.3870967741935484,0.0,0.3870967741935484,0.3870967741935484,0.0025603212416172028,0.0,0.0025603212416172028,0.0025603212416172028
gaussian_localized,0,0.05,fast_bayesian,clustered,1.0,1,1,156.49983041074094,0.0,156.49983041074094,156.49983041074094,0.2773420564531966,0.0,0.2773420564531966,0.2773420564531966,0.11111111111111116,0.0,0.11111111111111116,0.11111111111111116,10.274310275364618,0.0,10.274310275364618,10.274310275364618,0.39473684210526316,0.0,0.39473684210526316,0.39473684210526316,0.002513517625629902,0.0,0.002513517625629902,0.002513517625629902
gaussian_localized,0,0.05,tikhonov_2d,uniform,0.1,1,1,77.84511240325517,0.0,77.84511240325517,77.84511240325517,0.6897351835055434,0.0,0.6897351835055434,0.6897351835055434,0.11111111111111116,0.0,0.11111111111111116,0.11111111111111116,240.07872293746254,0.0,240.07872293746254,240.07872293746254,0.4050632911392405,0.0,0.4050632911392405,0.4050632911392405,0.0018298355862498283,0.0,0.0018298355862498283,0.0018298355862498283
gaussian_localized,0,0.05,tikhonov_2d,uniform,1.0,1,1,88.5573953637021,0.0,88.5573953637021,88.5573953637021,0.5803632815812629,0.0,0.5803632815812629,0.5803632815812629,0.11111111111111116,0.0,0.11111111111111116,0.11111111111111116,271.12732822559786,0.0,271.12732822559786,271.12732822559786,0.4,0.0,0.4,0.4,0.0013544689863920212,0.0,0.0013544689863920212,0.0013544689863920212
gaussian_localized,0,0.05,tikhonov_2d,boundary_biased,0.1,1,1,83.16326689352702,0.0,83.16326689352702,83.16326689352702,0.6168487468073,0.0,0.6168487468073,0.6168487468073,0.0,0.0,0.0,0.0,198.42314828182407,0.0,198.42314828182407,198.42314828182407,0.4050632911392405,0.0,0.4050632911392405,0.4050632911392405,0.0015176376327872276,0.0,0.0015176376327872276,0.0015176376327872276
gaussian_localized,0,0.05,tikhonov_2d,boundary_biased,1.0,1,1,119.9151262212453,0.0,119.9151262212453,119.9151262212453,0.5377063662640619,0.0,0.5377063662640619,0.5377063662640619,0.0,0.0,0.0,0.0,8516.90071265914,0.0,8516.90071265914,8516.90071265914,0.4050632911392405,0.0,0.4050632911392405,0.4050632911392405,0.0013831844553351402,0.0,0.0013831844553351402,0.0013831844553351402
gaussian_localized,0,0.05,tikhonov_2d,clustered,0.1,1,1,104.96236456577869,0.0,104.96236456577869,104.96236456577869,0.0443443763602669,0.0,0.0443443763602669,0.0443443763602669,0.5429406786186372,0.0,0.5429406786186372,0.5429406786186372,54.34723287469586,0.0,54.34723287469586,54.34723287469586,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0014370307326316833,0.0,0.0014370307326316833,0.0014370307326316833
