family_name,primary_axis_level,primary_axis_value,secondary_axis_level,solver_name,noise_sigma,n_runs,n_success,rmse_flux_mean,rmse_flux_std,rmse_flux_min,rmse_flux_max,ssim_flux_mean,ssim_flux_std,ssim_flux_min,ssim_flux_max,peak_localization_error_mean,peak_localization_error_std,peak_localization_error_min,peak_localization_error_max,band_error_scalar_mean,band_error_scalar_std,band_error_scalar_min,band_error_scalar_max,support_overlap_mean,support_overlap_std,support_overlap_min,support_overlap_max,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_min,runtime_seconds_max
discontinuous_piecewise,0,8.0,sharp,fast_bayesian,0.5,2,2,325.48582811297973,0.37856841392152774,325.1072596990582,325.86439652690126,0.32761322202457926,0.004340486557854795,0.32327273546672447,0.33195370858243406,0.4390259265377566,0.0,0.4390259265377566,0.4390259265377566,0.7820207884840885,0.011008739292349246,0.7710120491917393,0.7930295277764378,0.7340124504810412,0.002829654782116553,0.7311827956989247,0.7368421052631579,0.0012573963031172752,1.2909993529319763e-05,0.0012444863095879555,0.001270306296646595
discontinuous_piecewise,0,8.0,sharp,fast_bayesian,1.0,2,2,328.10273950001795,0.4820542357623765,327.6206852642556,328.58479373578035,0.3230086850739183,0.008042189512286801,0.3149664955616315,0.3310508745862051,0.4390259265377566,0.0,0.4390259265377566,0.4390259265377566,0.7782925959347552,0.022123212012719273,0.7561693839220359,0.8004158079474745,0.7239766081871345,0.012865497076023358,0.7111111111111111,0.7368421052631579,0.0012127249501645565,5.3443945944309235e-06,0.0012073805555701256,0.0012180693447589874
discontinuous_piecewise,0,8.0,sharp,tikhonov_2d,0.5,2,2,322.98809840695674,3.1494894342719704,319.83860897268477,326.1375878412287,0.23242057915710385,0.0011090367197817003,0.23131154243732216,0.23352961587688556,0.535649973866354,0.00729070475228305,0.528359269114071,0.5429406786186372,0.6139431314859751,0.03765271623155125,0.5762904152544238,0.6515958477175263,0.7841511936339522,0.042771883289124624,0.7413793103448276,0.8269230769230769,0.0014743097126483917,0.00025157630443573,0.0012227334082126617,0.0017258860170841217
discontinuous_piecewise,0,8.0,sharp,tikhonov_2d,1.0,2,2,320.2497231878642,6.0905140541419485,314.15920913372224,326.34023724200614,0.2411535972227804,0.002249773445836614,0.2389038237769438,0.24340337066861703,0.572888370093174,0.044529100979102954,0.528359269114071,0.617417471072277,0.6265260461379963,0.07200486509925041,0.5545211810387459,0.6985309112372468,0.7670692240902992,0.06788223222038042,0.6991869918699187,0.8349514563106796,0.001245727762579918,3.220606595277786e-05,0.00121352169662714,0.0012779338285326958
discontinuous_piecewise,0,8.0,sharp,tsvd_2d,0.5,2,2,350.24738159380496,0.20922563284580065,350.03815596095916,350.45660722665076,0.19575329693325091,0.007666130792244263,0.18808716614100665,0.20341942772549518,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.8258285421612551,0.002301348739717435,0.8235271934215377,0.8281298909009726,0.6368631368631368,0.0004995004995004826,0.6363636363636364,0.6373626373626373,0.0021226759999990463,0.0004527382552623749,0.0016699377447366714,0.002575414255261421
discontinuous_piecewise,0,8.0,sharp,tsvd_2d,1.0,2,2,350.4162510534808,0.23849187100324798,350.17775918247753,350.654742924484,0.190261944640255,0.015713295956433337,0.17454864868382167,0.20597524059668834,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.828862352320922,0.004244162657061401,0.8246181896638606,0.8331065149779834,0.6444197256210604,0.0007415647015202032,0.6436781609195402,0.6451612903225806,0.001627783291041851,2.7259811758995056e-05,0.001600523479282856,0.001655043102800846
discontinuous_piecewise,1,20.0,very_sharp,fast_bayesian,0.5,2,2,322.9264565193703,0.21297632151052426,322.7134801978598,323.13943284088083,0.263166720989462,0.004144088040814342,0.25902263294864764,0.2673108090302763,0.4390259265377566,0.0,0.4390259265377566,0.4390259265377566,0.8168063935993949,0.00996074774178557,0.8068456458576093,0.8267671413411805,0.585,0.0016666666666666496,0.5833333333333334,0.5866666666666667,0.0012716581113636494,2.0781997591257095e-05,0.0012508761137723923,0.0012924401089549065
discontinuous_piecewise,1,20.0,very_sharp,fast_bayesian,1.0,2,2,325.57288067940794,0.12581386502685632,325.4470668143811,325.69869454443483,0.2591041255878616,0.007634949437495764,0.25146917615036585,0.2667390750253574,0.4390259265377566,0.0,0.4390259265377566,0.4390259265377566,0.8121056773425139,0.02017809716432145,0.7919275801781924,0.8322837745068353,0.5863991081382386,0.022296544035674493,0.5641025641025641,0.6086956521739131,0.001268870197236538,1.3064593076705933e-05,0.001255805604159832,0.0012819347903132439
discontinuous_piecewise,1,20.0,very_sharp,tikhonov_2d,0.5,2,2,318.8874858800691,2.999047359621528,315.8884385204476,321.88653323969066,0.19545634998083627,0.0016876721910017295,0.19376867778983456,0.19714402217183802,0.535649973866354,0.00729070475228305,0.528359269114071,0.5429406786186372,0.6871351370648592,0.030275117819053454,0.6568600192458057,0.7174102548839126,0.6317733990147784,0.011083743842364546,0.6206896551724138,0.6428571428571429,0.0012201680801808834,6.810296326875687e-06,0.0012133577838540077,0.001226978376507759
discontinuous_piecewise,1,20.0,very_sharp,tikhonov_2d,1.0,2,2,322.5572795368725,0.45478460963011,322.1024949272424,323.0120641465026,0.1546220573750952,0.04640872872262223,0.10821332865247298,0.20103078609771743,0.5300789844406044,0.08733848663167257,0.4427404978089318,0.617417471072277,0.7157261638410356,0.07618780089412502,0.6395383629469106,0.7919139647351606,0.5776376534174079,0.07296475622114629,0.5046728971962616,0.6506024096385542,0.0012298929505050182,3.697490319609642e-05,0.0011929180473089218,0.0012668678537011147
