sensor_1_K,sensor_2_K
298.021757,299.488376
299.264427,301.617963
302.575851,300.508117
300.387949,299.429426
301.840462,300.629007
301.154208,300.152243
298.727073,300.509266
301.083904,304.002462
299.366809,299.389584
299.355222,298.920474
300.194335,302.827262
296.948139,298.588599
302.384332,303.439779
298.657821,299.611604
302.000539,300.147679
300.272642,301.467257
303.064066,302.426219
298.680061,301.993997
299.376410,299.592729
300.675538,299.267142
295.585058,300.694945
301.655843,300.269438
303.083261,298.715454
302.253614,300.821456
301.509539,301.988239
299.708044,300.333013
302.563804,303.127999
302.148061,300.820604
300.785242,299.688374
300.010229,300.200430
299.276466,298.879780
297.539536,297.937404
302.452459,300.953057
295.655912,298.293499
299.259705,299.283416
300.328760,299.821600
301.792406,300.770237
303.760320,300.922526
302.460607,300.109232
300.174969,296.139583
302.525510,299.591813
298.871339,298.458723
304.585595,299.794533
301.744916,302.010491
301.040529,301.651750
301.436414,300.501036
302.913616,301.094428
302.567359,297.133027
308.243875,300.530971
302.533284,301.426091
304.334953,298.805012
304.620532,301.071683
304.910420,299.548587
305.248926,302.363703
304.454560,302.635706
304.525597,299.409013
304.238274,303.467468
303.252063,300.227639
306.922649,304.800804
308.716383,299.765668
305.915186,300.950712
306.134128,301.326385
306.864819,299.477434
306.819490,297.609339
305.107900,299.543860
310.947134,303.386999
309.328317,300.656787
307.257358,300.748520
309.502656,304.524708
308.256192,302.568591
308.931948,303.077673
310.302675,303.464520
311.697692,300.044283
313.045396,302.202902
313.626394,302.348964
309.930797,301.826546
309.636735,300.054554
311.040986,303.265035
311.301937,299.117859
309.778223,300.658346
310.205144,301.011826
313.270131,301.904531
315.122785,304.509490
311.579938,306.239344
310.928965,306.469373
311.848352,304.736178
310.613312,304.101960
312.244632,298.648386
313.820420,305.680595
312.996392,308.777050
315.810203,304.523606
313.823249,304.184494
314.662621,305.212208
313.580290,305.370287
316.685100,304.280865
311.783609,303.361167
313.794241,304.929829
312.225786,301.559968
316.396090,300.635635
316.613229,307.218995
314.048773,303.677298
318.562963,306.121292
314.817362,307.894174
312.809025,307.320782
315.176023,303.868290
316.619904,305.719046
315.591304,302.831424
320.750165,305.048100
318.087759,307.442507
319.996248,305.507325
319.461019,299.832898
313.472109,301.125030
316.241474,304.115858
311.692231,308.476531
316.007529,306.298776
319.680574,306.273246
315.912920,303.448392
316.473889,306.462344
318.546414,301.707815
319.614627,307.030025
317.472195,308.792562
