sensor_1_K,sensor_2_K
299.505439,299.384884
300.007109,300.616816
301.164990,298.931342
301.059785,299.862369
301.975864,300.181789
302.474697,300.608664
302.659557,301.169979
304.158944,300.931342
304.747219,300.472644
305.848977,301.206420
307.221671,300.476342
307.595518,302.126579
310.122351,301.674391
310.299793,301.788162
312.147253,302.202276
312.597031,302.903644
314.022323,303.156548
313.485209,304.912494
314.045874,303.809098
314.590924,304.562060
313.386375,304.906445
314.839917,305.216179
315.023737,305.498054
314.558755,305.454334
314.053972,305.584034
313.244521,305.582234
313.576608,305.366093
313.081903,306.277749
312.351779,306.687599
311.777023,305.920223
311.225410,305.883527
